lugar_id,nombre_lugar,otros_nombres,lat,lon,tipo,es_parte_de_id,coordenadas
184,tehuantepec,,16.32463,-95.24104,pueblo,,"(16.32463, -95.24104)"
185,yepes (españa),,39.90199,-3.62517,pueblo,,"(39.90199, -3.62517)"
186,mezquitán,,20.6914,-103.354,real,,"(20.6914, -103.354)"
187,ahuatlán,,18.95444,-99.25722,pueblo,,"(18.95444, -99.25722)"
188,cuernavaca,,18.9261,-99.23075,villa,,"(18.9261, -99.23075)"
189,chapala,,20.26067,-103.02702,villa,,"(20.26067, -103.02702)"
190,congo,,17.53108,-99.0288,region,,"(17.53108, -99.0288)"
191,tierra cafre,,None,None,region,,"(None, None)"
192,acaponeta,,22.48146,-105.33054,villa,,"(22.48146, -105.33054)"
193,san marcial,,16.03,-96.4,real,,"(16.03, -96.4)"
194,pátzcuaro,,19.62553,-101.64017,villa,,"(19.62553, -101.64017)"
195,villa de los lagos,,21.21472,-102.28167,villa,,"(21.21472, -102.28167)"
196,"sonsonate, el salvador",,13.71889,-89.72417,villa,,"(13.71889, -89.72417)"
197,malinaltepeque,,None,None,region,,"(None, None)"
198,atlahuaca,,18.483333333,-95.866666666,region,,"(18.483333333, -95.866666666)"
199,yolox,,17.58907,-96.55235,pueblo,,"(17.58907, -96.55235)"
200,"santamaria, reino de castilla",,None,None,puerto,,"(None, None)"
201,"apoala, jurisdicción de yanhuitlan",,None,None,pueblo,,"(None, None)"
202,peñoles,,17.077777777,-97.001388888,region,,"(17.077777777, -97.001388888)"
203,jamiltepec,,16.28258,-97.82446,pueblo,,"(16.28258, -97.82446)"
204,jalatlaco,,17.06733,-96.71647,pueblo,,"(17.06733, -96.71647)"
205,cuicatlan,,17.802777777,-96.959444444,region,,"(17.802777777, -96.959444444)"
206,tulancingo,,20.08355,-98.36288,ciudad,,"(20.08355, -98.36288)"
207,chimaltitán,,21.733333333,-103.7,real,,"(21.733333333, -103.7)"
208,san luis potosí,,22.149722222,-100.975,ciudad,,"(22.149722222, -100.975)"
209,totomehuacan,,None,None,pueblo,,"(None, None)"
210,motaje,,22.397777777,-105.246388888,real,,"(22.397777777, -105.246388888)"
211,la magdalena,,25.33722222,-112.11305556,real,,"(25.33722222, -112.11305556)"
212,sombrerete,,23.63466,-103.64244,real,,"(23.63466, -103.64244)"
213,"pinula, guatemala",,None,None,pueblo,,"(None, None)"
214,guaxolotitlan,,None,None,region,,"(None, None)"
215,teotitlan,,17.02275,-96.52796,region,,"(17.02275, -96.52796)"
216,tequila,,20.88205,-103.83599,villa,,"(20.88205, -103.83599)"
217,montegrande,,16.05194,-93.07833,real,,"(16.05194, -93.07833)"
218,amajac,,21.2523,-98.7813,real,,"(21.2523, -98.7813)"
219,yanhuitlán,,17.52861,-97.3426,pueblo,,"(17.52861, -97.3426)"
220,tlaxiaco,,17.26916,-97.68053,pueblo,,"(17.26916, -97.68053)"
221,petlalcingo,,18.08463,-97.9175,pueblo,,"(18.08463, -97.9175)"
222,tonalá,,20.62445,-103.23423,pueblo,,"(20.62445, -103.23423)"
223,jicayán,,16.45179,-98.01425,pueblo,,"(16.45179, -98.01425)"
224,"ysquinta, guatemala",,None,None,pueblo,,"(None, None)"
225,"mapastepeque, soconusco",,None,None,pueblo,,"(None, None)"
226,tequepexpan,,20.60218,-103.39975,villa,,"(20.60218, -103.39975)"
227,"córdoba, veracruz",,18.8842,-96.92559,pueblo,,"(18.8842, -96.92559)"
228,santo domingo,,16.32463,-95.24104,pueblo,,"(16.32463, -95.24104)"
229,santiago,,20.58806,-100.38806,pueblo,,"(20.58806, -100.38806)"
230,magdalena apasco,,17.24083,-96.82083,pueblo,,"(17.24083, -96.82083)"
231,san pedro guamesula,,None,None,pueblo,,"(None, None)"
232,chiapa de la real,,None,None,pueblo,,"(None, None)"
233,durango,,32.249166666,-115.251666666,villa,,"(32.249166666, -115.251666666)"
234,san josé del parral,,27.51161,-105.07544,real,,"(27.51161, -105.07544)"
235,minas de la resurrección,,None,None,real,,"(None, None)"
236,sayula,,19.8772,-103.57337,villa,,"(19.8772, -103.57337)"
237,mascota,,20.52613,-104.78781,pueblo,,"(20.52613, -104.78781)"
238,poncitlán,,20.35819,-102.92517,villa,,"(20.35819, -102.92517)"
239,teosaqualco,,None,None,pueblo,,"(None, None)"
240,michoacán,,19.16667,-101.83333,ciudad,,"(19.16667, -101.83333)"
241,hacienda de buena vista,,-15.46732,-74.44862,region,,"(-15.46732, -74.44862)"
242,tlajomulco,,20.49243,-103.42939,villa,,"(20.49243, -103.42939)"
243,tlazazalca,,19.97085,-102.05842,villa,,"(19.97085, -102.05842)"
244,nuevo león,,25.566666666,-99.970555555,gobernacion,,"(25.566666666, -99.970555555)"
245,san cristobal de la habana,,None,None,ciudad,,"(None, None)"
246,cuautitlan,,19.886861111,-104.105944444,region,,"(19.886861111, -104.105944444)"
247,jolapa,,21.2225,-98.70528,real,,"(21.2225, -98.70528)"
248,san miguel en las provincias de guatemala,,None,None,pueblo,,"(None, None)"
249,ciudad de guatemala,,14.641666666,-90.513333333,ciudad,,"(14.641666666, -90.513333333)"
250,matamba,,17.31722,-92.56222,region,,"(17.31722, -92.56222)"
251,león,,21.12908,-101.67374,villa,,"(21.12908, -101.67374)"
252,huehuetoca,,19.83543,-99.2038,villa,,"(19.83543, -99.2038)"
253,mazapil,,24.36,-101.93,real,,"(24.36, -101.93)"
254,santa maría de los lagos,,-41.34236,-73.2116,villa,,"(-41.34236, -73.2116)"
255,san pedro analco,,21.137972222,-103.949861111,real,,"(21.137972222, -103.949861111)"
256,tlaltenango,,19.1599,-98.34105,villa,,"(19.1599, -98.34105)"
257,iztapalapa,,19.35529,-99.06224,villa,,"(19.35529, -99.06224)"
258,atemajac,,20.14268,-103.71175,villa,,"(20.14268, -103.71175)"
259,jala,,21.1806,-104.39716,villa,,"(21.1806, -104.39716)"
260,puerto rico,,17.65906,-100.6567,isla,,"(17.65906, -100.6567)"
261,campeche,,19.844814166,-90.539649166,ciudad,,"(19.844814166, -90.539649166)"
262,san luis,,22.149722222,-100.975,ciudad,,"(22.149722222, -100.975)"
264,minas de sultepeque,,None,None,region,,"(None, None)"
265,caramandi,,None,None,region,,"(None, None)"
266,xofa,,None,None,region,,"(None, None)"
267,texcoco,,19.51194,-98.88293,ciudad,,"(19.51194, -98.88293)"
268,nación berberisca,,None,None,region,,"(None, None)"
269,banol,,33.19175,75.68439,region,,"(33.19175, 75.68439)"
270,tierra arda,,None,None,region,,"(None, None)"
271,xamarca,,None,None,ciudad,,"(None, None)"
272,tierra joloffe,,None,None,region,,"(None, None)"
273,extramadura,,None,None,region,,"(None, None)"
274,españa,,19.415,-99.17138889,region,,"(19.415, -99.17138889)"
275,carabali,,16.80611,-99.17058,ciudad,,"(16.80611, -99.17058)"
276,durango,,24.83333,-104.83333,ciudad,,"(24.83333, -104.83333)"
277,aguascalientes,,21.88234,-102.28259,villa,,"(21.88234, -102.28259)"
278,tepezalá,,22.21666667,-102.1666667,real,,"(22.21666667, -102.1666667)"
279,zamora,,19.9855,-102.28387,villa,,"(19.9855, -102.28387)"
280,teocaltiche,,21.43421,-102.57449,pueblo,,"(21.43421, -102.57449)"
281,valle de caxitlan,,None,None,provincia,,"(None, None)"
